course_id,coupon_type,coupon_code,start_date,start_time,custom_price
6199369,best_price,FE4E45015534477D8984,2024-10-13,00:00,
6199297,best_price,8A3197D8FD894E46B750,2024-10-13,00:00,
5587658,best_price,B470E3AC69484A6B81F9,2024-10-13,00:00,
5312986,best_price,7AB69214DB6144059657,2024-10-13,00:00,
5273846,best_price,C2973614A17F43D59A50,2024-10-13,00:00,
5256918,best_price,506BEA3911BD40C9BDA8,2024-10-13,00:00,
5113844,best_price,0DCB841959B9419690C7,2024-10-13,00:00,
5048136,best_price,18B1C87CA3344209955C,2024-10-13,00:00,
4948464,best_price,35F9796EB61C47F3B5FC,2024-10-13,00:00,
4833004,best_price,A1DB4F5D8E6040F9981B,2024-10-13,00:00,
4663084,best_price,E280056B423D40C0940D,2024-10-13,00:00,
4661416,best_price,CCF0F8CCAD744F129B3B,2024-10-13,00:00,
4644516,best_price,2ED5E29267BA45B1800C,2024-10-13,00:00,
